,imp_sumup,imp_sumup_norm
Psap,0.33493382,0.10603923
Plekhm3,0.094925076,0.030053046
Sarnp,0.12099452,0.03830657
Mlh3,0.051706526,0.01637016
Golga1,0.10226066,0.032375477
Caml,0.11097398,0.03513409
Gja1,0.38546643,0.12203773
Mettl16,0.09031714,0.028594187
Timp2,0.3014505,0.095438495
Ccdc107,0.07470867,0.023652585
Ugcg,0.15524332,0.04914966
Ddit3,0.08201035,0.025964279
Tanc2,0.2188272,0.069280155
Unc50,0.13435356,0.042536013
Sdc2,0.14382495,0.04553463
Slc1a3,0.4410515,0.13963585
Klhdc8a,0.07610488,0.02409462
Tollip,0.13003334,0.041168243
Pacs1,0.06738682,0.021334505
Nfe2l1,0.37245643,0.117918804
Ccni,0.40818834,0.12923144
Rnf19a,0.13423862,0.042499617
Btrc,0.17958692,0.056856785
Tmsb10,0.36574072,0.115792625
Ago1,0.1740454,0.055102352
Ldhb,0.4195653,0.13283335
Ccdc85b,0.1447771,0.04583608
Ptk2b,0.17659612,0.0559099
Dpm3,0.13450219,0.042583067
Rdx,0.19325721,0.061184764
Atp5a1,0.32406902,0.102599464
Pkia,0.19061854,0.06034937
Ppp6r1,0.18822418,0.059591323
Tnik,0.28123325,0.08903776
Zfp810,0.051604126,0.016337741
Tspan2,0.17305863,0.05478994
0610010F05Rik,0.10520601,0.033307966
Per3,0.0864506,0.02737005
1110051M20Rik,0.1941701,0.061473787
Il10ra,0.014169048,0.004485886
Rasl10b,0.24099359,0.07629798
Chmp1a,0.1303573,0.041270804
Prss8,0.023132531,0.0073237033
Ermn,0.049546506,0.015686305
Trp53bp2,0.1635543,0.051780894
Ncaph2,0.16222176,0.051359013
Dgkd,0.16113642,0.0510154
Mrpl17,0.17207955,0.054479964
Lemd2,0.107800946,0.034129515
Slc6a11,0.3245438,0.10274978
Zmat4,0.066302136,0.020991096
Mycbp2,0.3146788,0.09962653
Rap2c,0.1529715,0.048430406
Sbno1,0.16556902,0.05241875
Nkiras1,0.1486165,0.04705162
Nktr,0.15633804,0.04949624
Emc2,0.14384688,0.045541577
Sms,0.10972943,0.03474007
Seh1l,0.08448127,0.026746564
Ccdc157,0.04711649,0.014916966
Csf2ra,0.043783948,0.013861892
Ppm1j,0.057678968,0.018261023
Zfp944,0.05599301,0.01772725
Ptplad1,0.187877,0.059481397
Papss2,0.06982658,0.022106925
Tgs1,0.06330952,0.020043641
Gnl2,0.09648115,0.0305457
Scd1,0.8841943,0.27993378
Setd1a,0.14426334,0.045673423
Stat1,0.11385837,0.036047284
Atp5l,0.19302335,0.061110724
Fzd3,0.14407277,0.04561309
Mef2d,0.044236038,0.014005022
Phka1,0.093570486,0.02962419
Tbccd1,0.039887544,0.012628299
Rps18,0.30164582,0.09550033
Whsc1,0.13869871,0.043911677
Gnai2,0.2434567,0.0770778
C1qbp,0.17105855,0.054156724
Pvrl1,0.1286755,0.04073835
Nsmaf,0.10661597,0.033754356
Aftph,0.17797792,0.05634738
Bax,0.12257585,0.038807213
Sfmbt2,0.038432945,0.012167778
Phax,0.13797729,0.043683276
Gm10409,0.037067052,0.011735339
Mgll,0.23740482,0.07516179
Tbc1d20,0.04713943,0.01492423
Fbxw7,0.19269969,0.06100825
Cdk14,0.2588968,0.0819661
8430410A17Rik,0.06440421,0.020390216
Syngr1,0.21790521,0.06898826
Pla2g12a,0.08585856,0.027182613
4930503E24Rik,0.06274052,0.019863496
Parp6,0.15338284,0.048560634
Sf3a1,0.09075217,0.028731916
Znf512b,0.14892378,0.04714891
Xpo1,0.21163292,0.06700247
Insig1,0.14088018,0.044602327
Ubtf,0.1439297,0.045567796
Larp1,0.2134268,0.0675704
Gdpd5,0.10165489,0.03218369
Nacc2,0.2854563,0.09037477
Bop1,0.07626852,0.024146428
Os9,0.17903906,0.056683328
8430419L09Rik,0.1762016,0.055784997
Tgoln1,0.34731165,0.10995802
Gm5779,0.056841798,0.017995976
Bbs4,0.086238906,0.027303027
Ifi27l2a,0.070195235,0.022223642
Zcchc24,0.284965,0.09021923
2900060B14Rik,0.11539948,0.036535196
Cwc15,0.26757511,0.08471363
Cttnbp2,0.25343233,0.08023606
Klhdc10,0.1820402,0.057633486
Papd7,0.08255388,0.026136357
Npy1r,0.06594603,0.020878352
Dbt,0.08036199,0.02544241
Ppp1r3c,0.11998861,0.037988104
Gnb2,0.30233225,0.09571765
1810030O07Rik,0.085690744,0.02712948
Rps15a-ps6,0.13154589,0.04164711
Stx16,0.13261418,0.04198533
Clu,0.20372029,0.06449735
Bean1,0.0535504,0.016953927
Bzw1,0.2335999,0.07395716
Faf2,0.08589994,0.027195714
Ankrd10,0.12170257,0.038530737
Ermp1,0.12312282,0.038980387
Tmem86a,0.08041748,0.025459979
Col11a2,0.027477294,0.008699244
Intu,0.07523432,0.023819001
Rnft2,0.07214064,0.022839554
Smarcc2,0.19594431,0.06203549
Cmpk1,0.14113525,0.044683076
Cops2,0.1538169,0.048698053
Efhd2,0.19897486,0.062994964
Pptc7,0.18786758,0.05947842
Usp15,0.093961485,0.029747978
Ddx1,0.15623127,0.04946244
Krtcap2,0.11593027,0.03670324
Dgcr14,0.057255164,0.018126845
Ccdc97,0.07765283,0.024584698
Fgf13,0.4269282,0.13516442
Napa,0.18696788,0.059193578
Taok2,0.17088525,0.054101855
Stom,0.08396153,0.026582018
Igsf3,0.1720141,0.054459248
Pgm2,0.15858963,0.050209094
Kif3c,0.06267827,0.019843789
Dixdc1,0.1591565,0.050388563
Tmem14c,0.104692325,0.03314534
Zfp706,0.23438855,0.074206844
Ptk2,0.116857745,0.03699688
Map3k2,0.19545211,0.06187966
Pcdh1,0.047211185,0.014946947
Mtch2,0.16501963,0.052244816
Ppp2r2c,0.2804625,0.08879375
Gstp1,0.14225139,0.045036446
Atp5f1,0.1911126,0.06050578
Eif4a3,0.13513504,0.042783424
Fkbp2,0.47065648,0.1490087
Mpp3,0.08292402,0.026253544
Lrrc51,0.034615245,0.010959103
Stoml2,0.10605352,0.033576287
Etfa,0.09655474,0.030568996
Fads1,0.24579635,0.07781853
Lurap1l,0.10619331,0.033620544
Rprd1a,0.18862176,0.059717193
Chd9,0.48962107,0.15501285
Atp6v1g1,0.17697003,0.056028284
Setd7,0.27660683,0.087573044
Pnrc2,0.2794526,0.08847401
Nhlrc1,0.06355463,0.020121241
Mgat3,0.27622825,0.087453194
Ppip5k2,0.08328622,0.026368214
Serinc5,0.17417766,0.055144224
Zfp385b,0.1663441,0.052664142
Tll1,0.030460408,0.009643691
Rrn3,0.11048526,0.034979366
Coa5,0.059978783,0.018989136
Hgs,0.1308591,0.041429672
Gtpbp1,0.11495491,0.036394447
Arfrp1,0.08182281,0.025904905
Csnk1g3,0.26157957,0.08281546
Swi5,0.256949,0.08134943
Eci2,0.15139966,0.047932766
Serpini1,0.25636473,0.08116445
Usp35,0.04506142,0.014266337
Glyr1,0.17314774,0.054818157
Dpf2,0.14401878,0.045595996
Csrp1,0.23979323,0.07591795
Ccnt1,0.051441222,0.016286165
Crtc2,0.07003192,0.022171935
Appl1,0.24224614,0.07669454
Mdm2,0.10786849,0.034150902
Etv5,0.14206961,0.044978894
Rap1a,0.24928516,0.07892308
Smim12,0.10776322,0.034117572
Cdc16,0.13165641,0.041682098
Triobp,0.060359716,0.01910974
Med27,0.050490208,0.015985077
Tomm5,0.12421113,0.039324943
Ints2,0.09497996,0.030070424
Gstm1,0.30999187,0.09814267
Spen,0.11374241,0.036010575
Arf3,0.32547897,0.10304585
Ywhah,0.34284824,0.10854492
Grrp1,0.04061061,0.012857221
Trhde,0.08306464,0.026298063
Sesn1,0.14930476,0.047269523
Trim68,0.024929019,0.007892467
Abi2,0.2302782,0.07290552
Bex1,0.18613784,0.05893079
Ttc27,0.05139631,0.016271947
Csmd1,0.07900834,0.02501385
Cenpt,0.04250217,0.013456083
Zfp592,0.071082376,0.022504508
Tns1,0.090275206,0.028580911
Abcf3,0.11342365,0.035909653
Il17ra,0.06227703,0.019716756
E530011L22Rik,0.061402515,0.019439887
1700001O22Rik,0.021054085,0.006665672
Matk,0.07888305,0.024974182
Gabra3,0.17811027,0.05638928
Npy,0.40445548,0.12804963
Srf,0.071924694,0.022771183
Smc5,0.16102168,0.050979074
Mtfr1l,0.21052745,0.06665248
2610017I09Rik,0.05708495,0.018072957
Elp5,0.13539207,0.042864803
Coa3,0.24359754,0.07712239
Nosip,0.09949674,0.031500425
Clpp,0.16652305,0.052720793
Prpsap1,0.17907144,0.056693584
Mrps35,0.07653524,0.024230873
Etl4,0.22673528,0.07178384
Fam57b,0.22798602,0.072179824
Bsn,0.1684523,0.053331587
Phf5a,0.09986668,0.03161755
Bbip1,0.14649121,0.04637876
C230091D08Rik,0.08628551,0.027317783
Kat2b,0.110029235,0.034834985
Tm9sf2,0.17289768,0.05473899
Rrp7a,0.07672399,0.02429063
Ndrg2,0.41966334,0.13286439
Nol4,0.1595119,0.050501075
Txnl4a,0.2572338,0.0814396
Rab11fip3,0.10190615,0.03226324
Acadl,0.15444502,0.04889692
Mapk6,0.10195373,0.032278303
Ipo11,0.13315094,0.042155262
Ctbp2,0.180758,0.05722754
Ppm1b,0.19684234,0.062319808
Pitpnm1,0.13056053,0.041335147
Ccz1,0.099079065,0.031368192
Chn2,0.36576283,0.11579963
Dnm1l,0.20336454,0.06438472
Slc6a8,0.19427687,0.061507583
Ercc6,0.096372545,0.030511312
Tubb4a,0.1601514,0.050703548
Dennd3,0.038142152,0.012075712
Mfhas1,0.07220257,0.02285916
Stard8,0.089233555,0.028251126
Neto2,0.12194992,0.038609046
Ranbp6,0.091156185,0.028859828
Ptdss1,0.18457845,0.05843709
Rps10,0.16868326,0.053404715
Creld1,0.11273474,0.03569155
Apoo,0.12398703,0.03925399
Pcdh19,0.07487736,0.023705991
Bach1,0.10636081,0.033673577
Ajap1,0.28537044,0.09034759
Rpp25l,0.06111775,0.019349733
Fus,0.22881441,0.07244209
Api5,0.112481155,0.03561126
Slc35e4,0.08151597,0.025807759
Rnf4,0.17233467,0.05456074
Vldlr,0.17689964,0.056005996
Synpr,0.33690712,0.10666397
G3bp1,0.15726946,0.04979113
Dennd2a,0.12131998,0.03840961
Fau,0.24943116,0.0789693
Fbxo6,0.06498683,0.020574672
Nck1,0.11272044,0.03568702
Zfyve27,0.06945006,0.02198772
Slc23a2,0.14015447,0.044372562
2610306M01Rik,0.046956666,0.014866368
Supt5,0.15254688,0.048295975
Phldb1,0.16122568,0.05104366
Mapre3,0.19694333,0.062351786
Dnajc8,0.24689393,0.07816602
Ptms,0.24190614,0.076586895
Neurl4,0.16364846,0.051810704
Sept3,0.22271821,0.07051204
Ddx3y,0.1881282,0.059560932
Psma3,0.13210328,0.04182358
March6,0.24479064,0.07750013
Selplg,0.0813975,0.025770253
BC018507,0.11636186,0.036839884
Pdcd4,0.1001107,0.031694807
Taf13,0.17859049,0.056541316
Tagap1,0.072476275,0.022945812
Dnalc4,0.12827915,0.04061287
Tmem65,0.275232,0.08713778
Cst3,0.84186506,0.26653245
Nop56,0.18894447,0.059819363
Ppwd1,0.0562409,0.017805733
Zfp30,0.042213064,0.013364553
Pclo,0.21742506,0.06883625
Slc38a7,0.06479009,0.020512387
Chid1,0.06832914,0.02163284
Map9,0.12863436,0.040725328
Sncb,0.18599874,0.05888675
Trappc4,0.12081543,0.038249873
Fer1l5,0.027569612,0.008728472
Lcmt1,0.15635705,0.049502265
Setx,0.35377163,0.11200324
Cdc73,0.08124118,0.025720762
Rbmx2,0.043634325,0.013814521
Rapgef4,0.28084743,0.088915616
Raly,0.13219678,0.041853182
Eif2b4,0.08546989,0.027059559
Ssb,0.23289551,0.07373416
9430020K01Rik,0.17330259,0.05486718
Dpagt1,0.06443143,0.020398833
9830001H06Rik,0.10425165,0.033005822
Syngr3,0.18057837,0.057170678
Smg5,0.10243004,0.032429103
Ppat,0.08112039,0.025682516
Zdhhc20,0.097475,0.030860348
Luzp1,0.20382437,0.0645303
A930011O12Rik,0.1717005,0.054359965
Abhd4,0.20248021,0.06410474
Pdia4,0.07139642,0.022603933
Lamc3,0.025665937,0.008125774
Mpi,0.06444228,0.02040227
Mllt4,0.16735096,0.052982908
Slc25a12,0.15968473,0.0505558
Mapk1ip1l,0.10339197,0.032733645
Cab39l,0.11800774,0.037360962
Cct8,0.24999002,0.07914623
Zfp462,0.15999924,0.05065537
Stt3b,0.19639143,0.06217705
Efnb3,0.21385032,0.06770449
Itga8,0.039919216,0.012638328
Dnm1,0.2830208,0.08960369
Zfp955a,0.08215093,0.026008783
Ndnl2,0.08407595,0.026618242
Mtmr12,0.057206873,0.018111557
Sp2,0.059155717,0.018728554
Oxct1,0.30160668,0.095487945
Pak7,0.07078259,0.022409596
Pms2,0.054393776,0.017220939
Tpd52l2,0.14619528,0.04628507
Rad1,0.04060648,0.0128559135
Mageh1,0.1498316,0.04743632
Hagh,0.2292311,0.07257401
Pcdh20,0.23758398,0.07521851
Ppargc1a,0.17618863,0.05578089
Rbm45,0.09422808,0.029832384
Fkbp4,0.18926193,0.059919868
Tchh,0.044901114,0.014215584
Rgs2,0.22400425,0.0709192
Napg,0.27274972,0.0863519
Wapal,0.15019023,0.047549862
Patl1,0.06905511,0.021862682
Rreb1,0.1578168,0.049964417
Gprasp1,0.49617878,0.157089
Stmn3,0.24973322,0.079064935
Bcor,0.07384278,0.023378445
Cacnb4,0.31838855,0.10080104
E130308A19Rik,0.07687298,0.0243378
9530082P21Rik,0.29309982,0.09279469
Eno2,0.31619674,0.10010712
Sumo3,0.14878398,0.04710465
Acp1,0.19347641,0.061254162
Klhl2,0.13349168,0.042263143
Fis1,0.1833953,0.05806251
Nup205,0.07947288,0.02516092
Klhdc3,0.16552669,0.052405346
Itih3,0.06765406,0.021419112
Sptbn2,0.20906715,0.06619015
Mbnl1,0.16727951,0.052960288
Rps6kc1,0.06849633,0.021685774
Slc7a10,0.060262196,0.019078866
Lims2,0.07595342,0.024046669
Chd1,0.10402472,0.032933977
Nsmf,0.20333119,0.06437416
Zfc3h1,0.15205237,0.048139412
Asb7,0.07851237,0.024856824
Meg3,0.5920548,0.18744312
Dscr3,0.100179635,0.031716626
Necap1,0.17921594,0.05673933
Tnrc6b,0.19947572,0.06315353
Rbm25,0.17987923,0.05694933
Mms19,0.09224146,0.029203422
Rraga,0.33952114,0.10749157
Far1,0.11832886,0.037462633
Mak16,0.087970324,0.027851192
Rbms3,0.09177966,0.029057216
Rbm3,0.1479012,0.046825163
Yy1,0.1907681,0.060396716
Eef1d,0.10856832,0.034372468
Map3k11,0.06296107,0.019933322
Mtss1,0.17978352,0.05691903
Osbpl9,0.16341966,0.05173827
Trmt1l,0.05369691,0.017000312
Fundc2,0.15227377,0.04820951
Brd3,0.14939015,0.047296554
Uqcr10,0.28390086,0.08988233
Dbx2,0.057908528,0.0183337
Rab3a,0.27670243,0.08760332
Tmem50a,0.2669596,0.08451877
Hmg20a,0.09364868,0.029648945
Sbf2,0.1230683,0.038963128
Kif5b,1.6370234,0.51827765
Ttyh1,0.38626808,0.12229153
Trpc4ap,0.19507895,0.06176152
Trim8,0.18476968,0.05849763
1110004F10Rik,0.21022062,0.066555336
Grpel2,0.11459356,0.036280043
Clvs2,0.10684781,0.033827756
Fbxl16,0.16042271,0.050789442
Gpbp1,0.24412264,0.077288635
Sppl2a,0.114997506,0.036407933
Armc1,0.14126562,0.044724356
Ggact,0.09906026,0.031362236
Rpl19,0.32954487,0.10433311
2810428I15Rik,0.11816957,0.0374122
Rnf112,0.053567026,0.01695919
Zyg11b,0.21143448,0.066939645
Ctsz,0.07237902,0.022915022
Gda,0.3283134,0.10394322
2900011O08Rik,0.21199383,0.06711673
Klhl40,0.060092773,0.019025227
Bbs2,0.09950012,0.031501498
Dync1i2,0.14417176,0.04564443
Fam179b,0.11839594,0.037483867
Kirrel3,0.0939959,0.029758874
AI597468,0.1605013,0.05081432
Timm9,0.11758024,0.03722562
Nlrc5,0.048752125,0.015434803
Aspa,0.10100326,0.031977385
Tmub2,0.09611128,0.030428598
Mcf2l,0.9990715,0.3163036
Vbp1,0.24459547,0.07743833
Rai1,0.09778505,0.03095851
Hepacam,0.12620503,0.03995621
Fam81a,0.11818479,0.037417017
Ppp2r2a,0.3158705,0.10000383
Tbca,0.1867697,0.059130833
Ap2m1,0.41461256,0.13126533
Tmx1,0.11589524,0.036692154
Cnnm1,0.069679074,0.022060227
Adhfe1,0.10168726,0.03219394
Clpx,0.11608361,0.036751784
Ythdc1,0.14475119,0.045827877
Nudt13,0.06644663,0.021036843
BC029722,0.069062024,0.021864869
Rps3,0.29287916,0.09272483
Tex9,0.058702428,0.018585047
Bri3bp,0.21967942,0.06954997
Mlxip,0.053010665,0.016783047
Yif1b,0.07080084,0.022415373
Morf4l1,0.35368764,0.11197665
Sema6b,0.14950554,0.04733309
Rnf6,0.22124334,0.0700451
Polr3e,0.07360863,0.023304313
Nras,0.111842334,0.03540901
Msl1,0.24266158,0.076826066
Utp11l,0.07818302,0.024752554
Zfp513,0.07213454,0.02283762
Atp8a1,0.13937539,0.04412591
Hdhd2,0.11886939,0.037633758
Zbtb20,0.10087901,0.03193805
Gdpd1,0.16087028,0.05093114
Ralyl,0.20612831,0.06525973
Tenm3,0.16791742,0.053162247
Mll2,0.17574817,0.055641446
Timm10b,0.12970349,0.041063808
Hectd1,0.2962328,0.093786575
Rnf14,0.27798662,0.08800989
Hmgn1,0.18560803,0.058763057
Pnp,0.08383072,0.026540603
Calr,0.40710807,0.12888943
Zfp93,0.0102995625,0.0032608167
Tusc1,0.07164685,0.022683218
Ppp1cc,0.22489434,0.07120101
Spsb4,0.07232377,0.02289753
Epas1,0.24437214,0.077367626
Wdr26,0.15465632,0.04896382
Drg1,0.060569827,0.01917626
Taz,0.10047057,0.03180874
Drp2,0.10963823,0.034711197
Rpn2,0.18896374,0.059825458
Cldn12,0.12828434,0.040614508
Slc7a4,0.055515118,0.017575953
Cfh,0.09167439,0.02902389
Tmc7,0.054403216,0.017223926
Rps6,0.19284756,0.06105507
Nploc4,0.15497933,0.04906608
Zeb1,0.14841989,0.046989378
Nnt,0.08000971,0.025330879
Robo2,0.19983108,0.06326604
Prdx3,0.2071314,0.0655773
Pagr1a,0.107385576,0.03399801
Prkag2,0.13500647,0.04274272
Rhbdf1,0.07226573,0.022879153
Sema4b,0.061141875,0.019357368
Csdc2,0.23264143,0.07365371
Lgalsl,0.24265754,0.076824784
Mtrf1l,0.064988874,0.02057532
Lrp1b,0.11829577,0.03745215
Rab4b,0.11765057,0.03724788
Heyl,0.10344392,0.032750092
Msi2,0.37623104,0.11911384
Eef1e1,0.10093794,0.031956706
Cnbp,0.37040538,0.11726945
Cryzl1,0.23005408,0.07283456
Cab39,0.26054746,0.082488686
3110043O21Rik,0.07728077,0.024466902
Srp54a,0.1799446,0.056970023
Maz,0.07660327,0.024252411
Wdr11,0.09467039,0.029972417
Galnt10,0.061275188,0.019399574
Gpr124,0.13875626,0.043929897
Ube2i,0.21612187,0.06842366
Znhit6,0.0542402,0.017172316
Hdgfrp2,0.098932475,0.031321783
Gng10,0.14040726,0.044452596
Snf8,0.11375018,0.036013033
Letmd1,0.11428881,0.03618356
Mgst1,0.23356289,0.07394544
Nptx1,0.14054914,0.044497516
Wdfy1,0.06720729,0.021277666
Zdhhc2,0.16043992,0.05079489
Man2c1,0.079844974,0.025278725
Zdhhc13,0.057243563,0.018123174
Mtx2,0.1692574,0.053586487
Cep152,0.029871387,0.009457209
Pcgf5,0.048650008,0.015402474
Exosc3,0.052588996,0.016649548
Maml1,0.06752743,0.02137902
Rpl6,0.3546925,0.11229478
1110032A03Rik,0.08575781,0.027150715
Lrrc38,0.0560506,0.017745484
Uqcrfs1,0.22345065,0.07074393
Pgm2l1,0.24949059,0.07898811
Taf8,0.039504163,0.012506923
Tjap1,0.079352744,0.025122887
Tmem55a,0.18807049,0.05954266
Apoe,1.3257939,0.4197431
Agpat5,0.16375525,0.051844515
Tbc1d25,0.037054718,0.011731433
Ctdspl2,0.06689259,0.02117803
Csde1,0.2350297,0.074409835
Calm1,0.6614018,0.20939822
Mllt11,0.2223113,0.07038322
Acbd3,0.14832552,0.046959497
Btbd3,0.2679549,0.08483387
Ssbp3,0.12584744,0.039842993
Akr1e1,0.11127059,0.035227995
Eif3f,0.29510093,0.09342824
Nr2f6,0.10425539,0.033007003
Ogt,0.3210354,0.101639025
Efhd1,0.068665795,0.021739423
Sult1a1,0.07380583,0.023366747
Srsf2,0.26716185,0.08458279
Hmgcs2,0.13946843,0.044155367
Birc6,0.21815214,0.069066435
Bet1l,0.08220395,0.02602557
Lgr4,0.18481682,0.058512557
Cops7a,0.26598626,0.084210604
Uchl1,0.24237306,0.07673472
Kif21b,0.101141565,0.032021172
Necab3,0.092876256,0.029404394
Pcdhga8,0.018915398,0.005988569
Macf1,0.37001213,0.11714494
Cadm1,0.37769818,0.119578324
2810408M09Rik,0.028520957,0.009029665
Lpin2,0.1584793,0.05017416
Prkar1b,0.39393917,0.124720186
Brix1,0.08951821,0.02834125
Psd,0.33732536,0.10679639
Naca,0.1769316,0.056016117
Arntl2,0.0029427987,0.0009316828
4933427D14Rik,0.085350044,0.027021617
Sptb,0.08510545,0.02694418
Ell2,0.22202533,0.07029268
Irf2bp2,0.16443859,0.052060857
Uqcrc2,0.31897014,0.10098517
Arid4a,0.25330704,0.080196396
Eef1a1,0.64897263,0.20546316
