0,1
1,2
2,3
3,6
4,7
5,8
6,9
7,10
8,11
9,12
10,13
11,15
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,27
21,28
22,30
23,32
24,33
25,34
26,35
27,36
28,37
29,38
30,39
31,40
32,41
33,42
34,43
35,45
36,46
37,47
38,48
39,49
40,50
41,51
42,52
43,53
44,54
45,57
46,58
47,59
48,60
49,61
50,62
51,63
52,64
53,65
54,67
55,68
56,69
57,71
58,72
59,73
60,74
61,75
62,76
63,77
64,79
65,81
66,82
67,86
68,87
69,88
70,89
71,90
72,91
73,93
74,94
75,95
76,96
77,97
78,100
79,101
80,102
81,104
82,105
83,109
84,110
85,111
86,112
87,113
88,114
89,115
90,116
91,117
92,118
93,119
94,120
95,121
96,122
97,123
98,124
99,125
100,126
101,127
102,128
103,130
104,131
105,132
106,135
107,136
108,137
109,138
110,139
111,140
112,141
113,142
114,144
115,145
116,146
117,147
118,148
119,149
120,150
121,151
122,152
123,153
124,154
125,155
126,156
127,157
128,159
129,160
130,161
131,162
132,163
133,164
134,166
135,167
136,168
137,169
138,170
139,171
140,173
141,174
142,175
143,176
144,177
145,179
146,182
147,183
148,184
149,185
150,186
151,187
152,188
153,189
154,191
155,192
156,193
157,194
158,195
159,197
160,198
161,199
162,200
163,201
164,202
165,203
166,206
167,207
168,209
169,210
170,211
171,213
172,214
173,215
174,216
175,217
176,218
177,220
178,221
179,222
180,223
181,226
182,227
183,228
184,229
185,230
186,231
187,232
188,233
189,234
190,236
191,238
192,239
193,240
194,241
195,242
196,244
197,245
198,246
199,247
200,248
201,249
202,251
203,253
204,254
205,257
206,258
207,259
208,260
209,261
210,262
211,263
212,264
213,266
214,267
215,268
216,269
217,271
218,272
219,273
220,274
221,277
